Field of study,1970-71,1975-76,1980-81,1985-86,1990-91,1995-96,2000-01,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
Agriculture and natural resources ..................,"12,672","19,402","21,886","16,823","13,124","21,425","23,370","23,002","23,053","23,133","24,113","24,982","26,343","28,630","30,972","33,592","35,125","36,277"
Architecture and related services .......................,"5,570","9,146","9,455","9,119","9,781","8,352","8,480","9,237","9,515","9,717","9,805","10,119","10,051","9,831","9,727","9,757","9,149","9,090"
"Area, ethnic, cultural, gender, and group studies ...................................","2,579","3,577","2,887","3,021","4,776","5,633","6,160","7,569","7,879","8,194","8,454","8,772","8,620","8,955","9,228","8,850","8,275","7,782"
Biological and biomedical sciences .......................................,"35,705","54,154","43,078","38,395","39,482","61,014","60,576","65,915","70,607","76,832","79,829","82,828","86,391","89,984","95,850","100,397","104,657","109,896"
Business ...........................................................,"115,396","143,171","200,521","236,700","249,165","226,623","263,515","311,574","318,042","327,531","335,254","348,056","358,119","365,133","367,235","360,887","358,132","363,799"
"Communication, journalism, and related programs ..............................................","10,324","20,045","29,428","41,666","51,650","47,320","58,013","72,715","73,955","74,783","76,382","77,984","81,280","83,231","83,771","84,818","87,612","90,650"
Communications technologies ..........................,478,"1,237","1,854","1,479","1,397",853,"1,178","2,523","2,981","3,637","4,666","5,100","4,782","4,858","4,983","4,987","4,991","5,135"
Computer and information sciences ........................... ,"2,388","5,652","15,121","42,337","25,159","24,506","44,142","54,111","47,480","42,170","38,476","37,992","39,593","43,066","47,406","50,961","55,271","59,581"
Education ...............................................,"176,307","154,437","108,074","87,147","110,807","105,384","105,458","105,451","107,238","105,641","102,582","101,716","101,287","104,008","105,656","104,698","98,838","91,623"
Engineering ...........................................,"45,034","38,733","63,642","77,391","62,448","62,168","58,209","64,707","66,841","66,874","68,431","68,911","72,657","76,356","81,371","85,987","92,169","97,858"
Engineering technologies ................................,"5,148","7,943","11,713","19,731","17,303","15,829","14,660","14,837","14,565","14,980","15,177","15,493","16,078","16,741","17,283","17,010","16,807","17,238"
English language and literature/letters .......................,"63,914","41,452","31,922","34,083","51,064","49,928","50,569","54,379","55,096","55,122","55,038","55,465","53,229","52,754","53,765","52,401","50,464","45,847"
Family and consumer sciences/human sciences ...........,"11,167","17,409","18,370","13,847","13,920","14,353","16,421","20,074","20,775","21,400","21,870","21,906","21,832","22,438","23,441","23,930","24,689","24,584"
"Foreign languages, literatures, and linguistics .........................","20,988","17,068","11,638","11,550","13,937","14,832","16,128","18,386","19,410","20,275","20,977","21,169","21,507","21,705","21,756","21,647","20,332","19,493"
Health professions and related programs ............................,"25,223","53,885","63,665","65,309","59,875","86,087","75,933","80,685","91,973","101,810","111,478","120,420","129,623","143,463","163,675","181,149","198,777","216,228"
"Homeland security, law enforcement, and firefighting ................................","2,045","12,507","13,707","12,704","16,806","24,810","25,211","30,723","35,319","39,206","40,235","41,788","43,613","47,600","54,091","60,264","62,416","62,723"
Legal professions and studies ...................................,545,531,776,"1,223","1,827","2,123","1,991","3,161","3,302","3,596","3,771","3,822","3,886","4,429","4,595","4,425","4,513","4,420"
"Liberal arts and sciences, general studies, and humanities ..............................","7,481","18,855","21,643","21,336","30,526","33,997","37,962","43,751","44,898","44,255","46,940","47,095","46,963","46,717","46,961","46,790","45,281","43,647"
