2016 Rank	Country	2016 Score	2015 Score	2014 Score	2013 Score	2012 Score	Region
1	Denmark	90	91	92	91	90	Europe and Central Asia
1	New Zealand	90	91	91	91	90	Asia Pacific
3	Finland	89	90	89	89	90	Europe and Central Asia
4	Sweden	88	89	87	89	88	Europe and Central Asia
5	Switzerland	86	86	86	85	86	Europe and Central Asia
6	Norway	85	88	86	86	85	Europe and Central Asia
7	Singapore	84	85	84	86	87	Asia Pacific
8	Netherlands	83	84	83	83	84	Europe and Central Asia
9	Canada	82	83	81	81	84	Americas
10	Germany	81	81	79	78	79	Europe and Central Asia
10	Luxembourg	81	85	82	80	80	Europe and Central Asia
10	United Kingdom	81	81	78	76	74	Europe and Central Asia
13	Australia	79	79	80	81	85	Asia Pacific
14	Iceland	78	79	79	78	82	Europe and Central Asia
15	Belgium	77	77	76	75	75	Europe and Central Asia
15	Hong Kong	77	75	74	75	77	Asia Pacific
17	Austria	75	76	72	69	69	Europe and Central Asia
18	United States	74	76	74	73	73	Americas
19	Ireland	73	75	74	72	69	Europe and Central Asia
20	Japan	72	75	76	74	74	Asia Pacific
21	Uruguay	71	74	73	73	72	Americas
22	Estonia	70	70	69	68	64	Europe and Central Asia
23	France	69	70	69	71	71	Europe and Central Asia
24	Bahamas	66	N/A	71	71	71	Americas
24	Chile	66	70	73	71	72	Americas
24	United Arab Emirates	66	70	70	69	68	Middle East and North Africa
27	Bhutan	65	65	65	63	63	Asia Pacific
28	Israel	64	61	60	61	60	Middle East and North Africa
29	Poland	62	63	61	60	58	Europe and Central Asia
29	Portugal	62	64	63	62	63	Europe and Central Asia
31	Barbados	61	N/A	74	75	76	Americas
31	Qatar	61	71	69	68	68	Middle East and North Africa
31	Slovenia	61	60	58	57	61	Europe and Central Asia
31	Taiwan	61	62	61	61	61	Asia Pacific
35	Botswana	60	63	63	64	65	Sub Saharan Africa
35	Saint Lucia	60	N/A	71	71	71	Americas
35	Saint Vincent and the Grenadines	60	N/A	62	62	62	Americas
38	Cape Verde	59	55	57	58	60	Sub Saharan Africa
38	Dominica	59	N/A	58	58	58	Americas
38	Lithuania	59	59	58	57	54	Europe and Central Asia
41	Brunei	58	N/A	N/A	60	55	Asia Pacific
41	Costa Rica	58	55	54	53	54	Americas
41	Spain	58	58	60	59	65	Europe and Central Asia
44	Georgia	57	52	52	49	52	Europe and Central Asia
44	Latvia	57	56	55	53	49	Europe and Central Asia
46	Grenada	56	N/A	N/A	N/A	N/A	Americas
47	Cyprus	55	61	63	63	66	Europe and Central Asia
47	Czech Republic	55	56	51	48	49	Europe and Central Asia
47	Malta	55	60	55	56	57	Europe and Central Asia
50	Mauritius	54	53	54	52	57	Sub Saharan Africa
50	Rwanda	54	54	49	53	53	Sub Saharan Africa
52	Korea (South)	53	54	55	55	56	Asia Pacific
53	Namibia	52	53	49	48	48	Sub Saharan Africa
54	Slovakia	51	51	50	47	46	Europe and Central Asia
55	Croatia	49	51	48	48	46	Europe and Central Asia
55	Malaysia	49	50	52	50	49	Asia Pacific
57	Hungary	48	51	54	54	55	Europe and Central Asia
57	Jordan	48	53	49	45	48	Middle East and North Africa
57	Romania	48	46	43	43	44	Europe and Central Asia
60	Cuba	47	47	46	46	48	Americas
60	Italy	47	44	43	43	42	Europe and Central Asia
62	Sao Tome and Principe	46	42	42	42	42	Sub Saharan Africa
62	Saudi Arabia	46	52	49	46	44	Middle East and North Africa
64	Montenegro	45	44	42	44	41	Europe and Central Asia
64	Oman	45	45	45	47	47	Middle East and North Africa
64	Senegal	45	44	43	41	36	Sub Saharan Africa
64	South Africa	45	44	44	42	43	Sub Saharan Africa
64	Suriname	45	36	36	36	37	Americas
69	Greece	44	46	43	40	36	Europe and Central Asia
70	Bahrain	43	51	49	48	51	Middle East and North Africa
70	Ghana	43	47	48	46	45	Sub Saharan Africa
72	Burkina Faso	42	38	38	38	38	Sub Saharan Africa
72	Serbia	42	40	41	42	39	Europe and Central Asia
72	Solomon Islands	42	N/A	N/A	N/A	N/A	Asia Pacific
75	Bulgaria	41	41	43	41	41	Europe and Central Asia
75	Kuwait	41	49	44	43	44	Middle East and North Africa
75	Tunisia	41	38	40	41	41	Middle East and North Africa
75	Turkey	41	42	45	50	49	Europe and Central Asia
79	Belarus	40	32	31	29	31	Europe and Central Asia
79	Brazil	40	38	43	42	43	Americas
79	China	40	37	36	40	39	Asia Pacific
